vader_compound,Roberta Negative,Roberta Neutral,Roberta Positive,ID,Star Rating,Review Source,Comment,Ease of Doing Business,Title
0.7797,0.0020409957505762577,0.007149671670049429,0.9908093214035034,4652717,5.0,Invitation from G2. This reviewer was offered a nominal gift card as thank you for completing this review.,"Our CSM, Jeremy, is so dedicated and excited - it's rejuvenating!",,Wonderful experience
0.9734,0.00260278326459229,0.009084450080990791,0.9883127808570862,7274157,5.0,G2 Gives Campaign. This reviewer was offered a donation to a charitable cause in their name as thanks for completing this review.,"I really like that you can promote your company, our offers, and the support. Wow! Amazing! Answers all our questions super fast! :)",,"Amazing product and support, G2 is crucial for our international expansion!"
0.9484,0.0031157219782471657,0.008730568923056126,0.9881537556648254,4168233,5.0,Invitation from a seller or affiliate. This reviewer was not provided any incentive by G2 for completing this review.,"G2 team's enthusiasm and support were amazing, it helped us to be on top 10! The Amazon Voucher campaign was a great idea!",,Great onboarding process
0.9359,0.0030859247781336308,0.010025881230831146,0.9868882298469543,4262009,5.0,Invitation from a seller or affiliate. This reviewer was not provided any incentive by G2 for completing this review.,"Nothing, at the moment! The user-friendly platform is great, the onboarding process was great, and the results from our hard work are great as well.",7.0,No smoke and mirrors
0.9442,0.003328141523525119,0.009923134930431843,0.9867486953735352,7059389,5.0,G2 Gives Campaign. This reviewer was offered a donation to a charitable cause in their name as thanks for completing this review.,"I am fortunate to work with such a fantastic team. The features we were offered are excellent and new innovations are always coming out. I strongly believe that this is due to the hard-working team at G2, of which I can single out the amazing Abhilash Chowdhury and Matthieu Le Sayec.",,"Amazing services and support, highly recommend it!"
0.9824,0.003640666138380766,0.010168195702135563,0.9861911535263062,334965,5.0,G2 Gives Campaign. This reviewer was offered a donation to a charitable cause in their name as thanks for completing this review.,"-Reading feedback from customers has been amazing!  We've been encouraged by how much people love Bonusly, and the reviews have had great ideas.

-Also, our onboarding specialist Anna was helpful, friendly, flexible, and responsive. I always had the information I needed and we got off to a great start. ",7.0,Great service and support
0.6115,0.0017833951860666275,0.01215695682913065,0.9860596656799316,7232546,5.0,G2 Gives Campaign. This reviewer was offered a donation to a charitable cause in their name as thanks for completing this review.,We are very happy with the way G2 is working for us.,,Great tool for unveiling parts of your dark funnel
0.9399,0.004913334734737873,0.00940067507326603,0.9856860041618347,641705,5.0,"Organic review. This review was written entirely without invitation or incentive from G2, a seller, or an affiliate.","This site is really great - we are getting a lot of benefits.  We have reviews coming in, we're getting leads and I'm validating where to focus on improving the product.  G2Crowd really works better than I expected!",7.0,Received may more value than I expected!
0.9841,0.0025758841075003147,0.011949975974857807,0.9854741096496582,877046,5.0,Invitation from a seller or affiliate. This reviewer was offered a nominal incentive as thanks for completing this review.,Loved hearing what our users think about our product. Also a great resource to share with prospects. The G2 Crowd on-boarding team was great! They were very responsive and ready to help share best practices. ,7.0,Easy. Fast. and increases brand awareness. 
0.4754,0.001959310146048665,0.012574858963489532,0.9854657649993896,1198532,4.5,Invitation from a seller or affiliate. This reviewer was offered a nominal incentive as thanks for completing this review.,"So far, we're extremely satisfied with our entire G2 Crowd experience.",7.0,Excellent onboarding process
